Address,Longitude,Latitude
2678 CHIEDZA,31.03241195,-17.99433219
2700 ST MARYS ,31.03080007,-17.99449995
2685 ST MARYS ,31.03162547,-17.99432116
,31.03062539,-17.99496179
9518 ST MARYS,31.02839162,-17.99661416
2758 ST MARYS,31.03157278,-17.99491826
2676 231 JEKACHEKA ROAD,31.03217626,-17.99436208
"2678 73 CHIEDZA ROAD
",31.03209864,-17.99438476
,31.03195351,-17.99480685
"2713 ST MARYS 
",31.03001623,-17.99448503
"2783 ST MARYS 
",31.03051373,-17.99542964
2823 DEVE STREET,31.03034375,-17.99595763
,31.03149605,-17.99484964
,31.03097808,-17.99491014
2759 ST MARYS ,31.03172626,-17.99482013
,31.0300478,-17.99559598
2772 ST MARYS ,31.03115957,-17.99546124
"2688 ST MARYS 
",31.03152898,-17.99442186
"2699 ST MARYS 
",31.03083538,-17.99438248
"2705 ST MARYS 
",31.03048225,-17.99443616
"2774 4222 ST MARYS 
",31.03105298,-17.99548147
"2791 4171 ST MARYS 
",31.0300723,-17.99548743
"2771 ST MARYS 
",31.0311863,-17.99531089
"2707 ST MARYS 
",31.03037401,-17.99445544
,31.03138911,-17.99433835
2841 4408 NYATSIME STREET,31.03132616,-17.99582808
"2690 ST MARYS 
",31.03145199,-17.99442967
"2703 ST MARYS 
",31.03060202,-17.99443987
"2781 ST MARYS 
",31.03064218,-17.99543073
"2753 ST MARYS 
",31.03137523,-17.99486229
"2824 1597 DEVE STREET
",31.03034853,-17.9960613
2762 ST MARYS,31.03181332,-17.99488579
"2826 ST MARYS 
",31.03046699,-17.99604122
,31.03078033,-17.99493818
2837 204 JEKACHEKA ROAD,31.03110305,-17.99585974
2839 4406 NYATSIME STREET,31.03121676,-17.99584823
,31.03055257,-17.99452631
"2693 ST MARYS 
",31.03115991,-17.994367
2833 217 JEKACHEKA ROAD,31.0309116,-17.99588421
,31.03126289,-17.99487325
2749 ST MARYS,31.03116106,-17.99488801
2752 ST MARYS,31.03125182,-17.99494261
2860 ST MARYS,31.03072987,-17.99652604
