suburb,density,property,price,rooms,bedroom,toilets,ensuite,type,constituency,council,carport,pool,furnished,cottage,power,pbackup,water,wbackup,gated,garden
BORROWDALE BROOKE,LOW,HOUSE,3500,8,6,7,6,SELF,HARARE EAST,HARARE MUNICIPALITY,2,0,1,3,1,1,1,1,1,1
BORROWDALE,LOW,FLAT,3500,7,4,3,2,SELF,HARARE EAST,HARARE MUNICIPALITY,1,1,1,1,1,1,1,0,0,1
BORROWDALE,LOW,FLAT,3500,9,5,4,2,SELF,HARARE EAST,HARARE MUNICIPALITY,2,0,1,2,1,0,1,1,0,1
BORROWDALE WEST,LOW,FLAT,3500,8,5,4,2,SELF,HARARE EAST,HARARE MUNICIPALITY,2,1,1,1,1,1,1,1,0,1
BORROWDALE,LOW,HOUSE,3500,8,5,3,2,SELF,HARARE EAST,HARARE MUNICIPALITY,0,0,1,1,1,0,1,1,0,1
BORROWDALE,LOW,HOUSE,3500,7,2,2,1,SELF,HARARE EAST,HARARE MUNICIPALITY,0,0,1,0,1,0,1,0,0,0
MOUNT PLEASANT,LOW,HOUSE,3500,8,5,3,1,SELF,MOUNT PLEASANT,HARARE MUNICIPALITY,2,1,1,4,1,0,1,1,0,1
AVONDALE,LOW,HOUSE,3500,12,5,5,1,SELF,MOUNT PLEASANT,HARARE MUNICIPALITY,2,1,1,3,1,1,1,1,0,1
NETTLETON,MEDIUM,CLUSTER,70,1,0,1,0,SHARED,SUNNINGDALE,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
SHAWASHA HILLS,LOW,HOUSE,3400,7,4,4,1,SELF,HARARE EAST,HARARE MUNICIPALITY,2,1,1,1,1,1,1,1,1,1
BORROWDALE BROOKE,LOW,FLAT,3000,9,4,5,4,SELF,HARARE EAST,HARARE MUNICIPALITY,1,1,1,0,1,1,1,1,1,1
HIGHLANDS,LOW,HOUSE,3000,6,4,3,2,SELF,MOUNT PLEASANT,HARARE MUNICIPALITY,1,1,1,0,1,1,1,1,0,1
BORROWDALE BROOKE,LOW,HOUSE,3000,8,4,3,2,SELF,HARARE EAST,HARARE MUNICIPALITY,2,0,1,3,1,1,1,0,1,1
CHISIPITE,LOW,HOUSE,3000,9,5,3,2,SELF,MOUNT PLEASANT,HARARE MUNICIPALITY,2,1,1,2,1,0,1,1,0,1
AVONDALE,LOW,FLAT,3000,12,5,4,1,SELF,MOUNT PLEASANT,HARARE MUNICIPALITY,2,1,1,3,1,1,1,1,0,1
CHISIPITE,LOW,FLAT,3000,7,5,3,1,SELF,MOUNT PLEASANT,HARARE MUNICIPALITY,2,1,1,2,1,1,1,1,0,1
BORROWDALE,LOW,FLAT,3000,7,4,3,1,SELF,HARARE EAST,HARARE MUNICIPALITY,0,1,1,0,1,0,1,1,1,1
BORROWDALE BROOKE,LOW,HOUSE,3000,7,4,2,1,SELF,HARARE EAST,HARARE MUNICIPALITY,0,1,1,1,1,1,1,1,1,1
BORROWDALE BROOKE,LOW,HOUSE,3000,7,3,2,1,SELF,HARARE EAST,HARARE MUNICIPALITY,0,0,1,0,1,0,1,0,0,1
BORROWDALE BROOKE,LOW,HOUSE,3000,8,3,3,1,SELF,HARARE EAST,HARARE MUNICIPALITY,0,0,1,0,1,0,1,0,1,1
MOUNT PLEASANT,LOW,HOUSE,2800,7,4,1,1,SELF,MOUNT PLEASANT,HARARE MUNICIPALITY,1,1,1,0,1,0,1,0,0,1
BORROWDALE,LOW,HOUSE,2700,6,4,3,2,SELF,HARARE EAST,HARARE MUNICIPALITY,2,1,1,0,1,0,1,1,0,1
MOUNT PLEASANT,LOW,HOUSE,2600,7,5,4,3,SELF,MOUNT PLEASANT,HARARE MUNICIPALITY,0,1,1,0,1,1,1,1,0,1
HIGHLANDS,LOW,HOUSE,2500,6,4,4,3,SELF,MOUNT PLEASANT,HARARE MUNICIPALITY,1,1,1,0,1,1,1,1,1,1
MOUNT PLEASANT,LOW,HOUSE,2500,9,5,4,3,SELF,MOUNT PLEASANT,HARARE MUNICIPALITY,2,0,1,3,1,1,1,1,0,1
CHISIPITE,LOW,FLAT,2500,7,4,3,2,SELF,MOUNT PLEASANT,HARARE MUNICIPALITY,2,0,2,0,1,1,1,1,0,1
MOUNT PLEASANT,LOW,HOUSE,2500,7,4,3,2,SELF,MOUNT PLEASANT,HARARE MUNICIPALITY,0,0,1,1,1,1,1,1,0,1
CHISIPITE,LOW,HOUSE,2500,13,7,6,2,SELF,MOUNT PLEASANT,HARARE MUNICIPALITY,4,1,1,3,1,0,1,1,0,1
SHAWASHA HILLS,LOW,HOUSE,2500,8,5,3,2,SELF,HARARE EAST,HARARE MUNICIPALITY,2,0,1,0,1,1,1,1,1,1
HIGHLANDS,LOW,HOUSE,2500,5,3,2,1,SELF,MOUNT PLEASANT,HARARE MUNICIPALITY,0,0,1,0,1,1,1,1,0,0
BORROWDALE,LOW,HOUSE,2500,7,2,2,1,SELF,HARARE EAST,HARARE MUNICIPALITY,0,1,1,0,1,1,1,0,0,1
ARLINGTON,LOW,HOUSE,2500,7,4,2,1,SELF,HUNYANI,HARARE MUNICIPALITY,2,0,1,0,1,1,1,1,0,1
UNIT B,HIGH,HOUSE,400,7,4,2,1,SELF,ZENGEZA EAST,CHITUNGWIZA MUNICIPALITY,0,0,1,0,1,0,1,0,0,0
HIGHFIELD,HIGH,HOUSE,400,6,3,2,1,SELF,HIGHFIELD,HARARE MUNICIPALITY,2,0,1,0,1,1,1,1,0,1
ZENGEZA 2,HIGH,HOUSE,245,5,3,2,1,SELF,ZENGEZA WEST,CHITUNGWIZA MUNICIPALITY,0,0,1,0,1,1,1,1,0,0
QUEENSDALE,MEDIUM,CLUSTER,70,1,0,1,0,SHARED,SUNNINGDALE,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
RIVERSIDE,HIGH,HOUSE,400,7,3,2,1,SELF,CHITUNGWIZA NORTH,CHITUNGWIZA MUNICIPALITY,2,0,1,0,1,0,1,0,1,1
ZENGEZA 4,HIGH,HOUSE,300,6,4,2,1,SELF,ZENGEZA EAST,CHITUNGWIZA MUNICIPALITY,0,0,1,0,1,0,1,0,0,0
BRAESIDE,MEDIUM,CLUSTER,85,1,0,1,0,SHARED,SUNNINGDALE,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
CHISIPITE,LOW,HOUSE,2500,7,3,2,1,SELF,MOUNT PLEASANT,HARARE MUNICIPALITY,2,1,1,3,1,1,1,0,0,1
HIGHLANDS,LOW,HOUSE,2500,7,3,2,1,SELF,MOUNT PLEASANT,HARARE MUNICIPALITY,3,0,1,0,1,1,1,1,1,1
MOUNT PLEASANT,LOW,HOUSE,2500,9,4,2,1,SELF,MOUNT PLEASANT,HARARE MUNICIPALITY,0,1,1,4,1,0,1,1,0,1
MANDARA,LOW,HOUSE,2300,9,5,4,3,SELF,HARARE EAST,HARARE MUNICIPALITY,2,1,1,3,1,1,1,1,1,1
GOODHOPE,MEDIUM,CLUSTER,75,1,0,1,0,SHARED,HARARE WEST,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
BORROWDALE BROOKE,LOW,HOUSE,2300,7,4,3,2,SELF,HARARE EAST,HARARE MUNICIPALITY,1,0,1,1,1,0,1,1,0,1
