suburb,density,property,price,rooms,bedroom,toilets,ensuite,type,constituency,council,carport,pool,furnished,cottage,power,pbackup,water,wbackup,gated,garden
18,2,3,3500,8,6,7,6,0,12,2,2,0,1,3,1,1,1,1,1,1
17,2,2,3500,7,4,3,2,0,12,2,1,1,1,1,1,1,1,0,0,1
17,2,2,3500,9,5,4,2,0,12,2,2,0,1,2,1,0,1,1,0,1
19,2,2,3500,8,5,4,2,0,12,2,2,1,1,1,1,1,1,1,0,1
17,2,3,3500,8,5,3,2,0,12,2,0,0,1,1,1,0,1,1,0,1
17,2,3,3500,7,2,2,1,0,12,2,0,0,1,0,1,0,1,0,0,0
98,2,3,3500,8,5,3,1,0,23,2,2,1,1,4,1,0,1,1,0,1
9,2,3,3500,12,5,5,1,0,23,2,2,1,1,3,1,1,1,1,0,1
102,3,0,70,1,0,1,0,1,26,2,0,0,0,0,1,0,1,0,0,0
118,2,3,3400,7,4,4,1,0,12,2,2,1,1,1,1,1,1,1,1,1
18,2,2,3000,9,4,5,4,0,12,2,1,1,1,0,1,1,1,1,1,1
67,2,3,3000,6,4,3,2,0,23,2,1,1,1,0,1,1,1,1,0,1
18,2,3,3000,8,4,3,2,0,12,2,2,0,1,3,1,1,1,0,1,1
29,2,3,3000,9,5,3,2,0,23,2,2,1,1,2,1,0,1,1,0,1
9,2,2,3000,12,5,4,1,0,23,2,2,1,1,3,1,1,1,1,0,1
29,2,2,3000,7,5,3,1,0,23,2,2,1,1,2,1,1,1,1,0,1
17,2,2,3000,7,4,3,1,0,12,2,0,1,1,0,1,0,1,1,1,1
18,2,3,3000,7,4,2,1,0,12,2,0,1,1,1,1,1,1,1,1,1
18,2,3,3000,7,3,2,1,0,12,2,0,0,1,0,1,0,1,0,0,1
18,2,3,3000,8,3,3,1,0,12,2,0,0,1,0,1,0,1,0,1,1
98,2,3,2800,7,4,1,1,0,23,2,1,1,1,0,1,0,1,0,0,1
17,2,3,2700,6,4,3,2,0,12,2,2,1,1,0,1,0,1,1,0,1
98,2,3,2600,7,5,4,3,0,23,2,0,1,1,0,1,1,1,1,0,1
67,2,3,2500,6,4,4,3,0,23,2,1,1,1,0,1,1,1,1,1,1
98,2,3,2500,9,5,4,3,0,23,2,2,0,1,3,1,1,1,1,0,1
29,2,2,2500,7,4,3,2,0,23,2,2,0,2,0,1,1,1,1,0,1
98,2,3,2500,7,4,3,2,0,23,2,0,0,1,1,1,1,1,1,0,1
29,2,3,2500,13,7,6,2,0,23,2,4,1,1,3,1,0,1,1,0,1
118,2,3,2500,8,5,3,2,0,12,2,2,0,1,0,1,1,1,1,1,1
67,2,3,2500,5,3,2,1,0,23,2,0,0,1,0,1,1,1,1,0,0
17,2,3,2500,7,2,2,1,0,12,2,0,1,1,0,1,1,1,0,0,1
4,2,3,2500,7,4,2,1,0,18,2,2,0,1,0,1,1,1,1,0,1
133,1,3,400,7,4,2,1,0,28,0,0,0,1,0,1,0,1,0,0,0
66,1,3,400,6,3,2,1,0,17,2,2,0,1,0,1,1,1,1,0,1
159,1,3,245,5,3,2,1,0,29,0,0,0,1,0,1,1,1,1,0,0
112,3,0,70,1,0,1,0,1,26,2,0,0,0,0,1,0,1,0,0,0
114,1,3,400,7,3,2,1,0,2,0,2,0,1,0,1,0,1,0,1,1
161,1,3,300,6,4,2,1,0,28,0,0,0,1,0,1,0,1,0,0,0
20,3,0,85,1,0,1,0,1,26,2,0,0,0,0,1,0,1,0,0,0
29,2,3,2500,7,3,2,1,0,23,2,2,1,1,3,1,1,1,0,0,1
67,2,3,2500,7,3,2,1,0,23,2,3,0,1,0,1,1,1,1,1,1
98,2,3,2500,9,4,2,1,0,23,2,0,1,1,4,1,0,1,1,0,1
90,2,3,2300,9,5,4,3,0,12,2,2,1,1,3,1,1,1,1,1,1
56,3,0,75,1,0,1,0,1,14,2,0,0,0,0,1,0,1,0,0,0
18,2,3,2300,7,4,3,2,0,12,2,1,0,1,1,1,0,1,1,0,1
128,1,3,200,5,3,2,1,0,4,2,0,0,0,0,0,1,0,1,0,0
8,2,2,2200,7,3,3,2,0,11,2,0,0,1,0,1,0,1,1,0,0
7,3,0,140,2,0,1,0,1,11,2,0,0,0,0,1,0,1,1,0,0
17,2,3,2000,8,4,3,2,0,12,2,0,1,0,1,1,0,1,1,0,1
29,2,3,2000,6,3,2,1,0,23,2,2,1,1,3,1,1,1,1,0,1
19,2,1,2000,5,3,2,1,0,12,2,0,0,1,2,1,0,1,0,0,1
150,3,1,210,3,0,1,0,0,16,2,0,0,0,0,1,0,1,0,0,1
67,2,3,2000,7,4,2,1,0,23,2,2,1,1,1,1,1,1,1,0,1
64,2,3,2000,7,4,2,1,0,12,2,2,0,1,0,1,1,1,1,0,1
19,2,2,2000,5,3,1,0,0,12,2,1,0,1,1,1,1,1,1,0,0
24,1,3,500,6,4,2,1,0,0,2,0,0,0,0,1,0,1,1,0,0
131,3,1,250,3,0,1,0,0,14,2,0,0,0,0,1,0,1,0,0,1
94,2,3,1900,5,3,3,2,0,14,2,0,0,1,0,1,1,1,1,0,1
17,2,3,1800,7,4,3,2,0,12,2,2,1,1,0,1,1,1,1,0,1
17,2,3,1800,7,4,4,2,0,12,2,2,1,1,0,1,0,1,1,0,1
64,2,3,1800,7,4,3,2,0,12,2,0,0,1,0,1,1,1,1,0,1
67,2,3,1800,8,4,3,1,0,23,2,2,1,1,1,1,0,1,1,0,1
67,2,3,1700,7,4,3,2,0,23,2,1,1,1,0,1,1,1,1,0,1
17,2,3,1700,6,4,2,1,0,12,2,0,0,1,3,1,0,1,0,1,1
94,2,3,1500,7,5,3,1,0,14,2,0,0,1,2,1,1,1,1,0,1
111,2,1,300,2,1,1,0,0,12,2,0,0,0,0,1,0,1,0,0,1
27,3,1,450,5,3,1,0,0,16,2,0,0,0,0,1,0,1,0,0,1
98,2,3,1500,6,4,2,1,0,23,2,2,1,1,0,1,1,1,1,0,1
2,3,1,450,3,2,1,0,0,26,2,0,0,0,0,1,0,1,0,0,0
149,1,3,550,6,3,2,1,0,11,2,0,0,0,3,1,0,1,1,0,1
6,2,3,1500,8,4,2,1,0,14,2,0,0,1,0,1,0,1,1,0,1
90,2,3,1500,8,4,3,1,0,12,2,2,0,1,1,1,1,1,1,0,1
9,2,3,1500,5,2,1,0,0,23,2,0,0,0,0,1,1,1,1,0,0
118,2,3,1400,7,4,4,3,0,12,2,2,0,1,1,1,0,1,1,1,1
17,2,2,1300,6,3,4,3,0,12,2,2,0,0,0,1,1,1,1,0,0
84,2,3,1300,6,3,2,1,0,23,2,2,1,1,0,1,0,1,1,0,1
153,2,3,1300,7,4,2,1,0,14,2,2,1,1,0,1,1,1,1,0,1
