Suburb,Rooms,Type,Price,Bedroom2,Bathroom,Car,Landsize,CouncilArea,Regionname
Abbotsford,2,h,1480000,2,1,1,202,Yarra,Northern Metropolitan
Abbotsford,2,h,1035000,2,1,0,156,Yarra,Northern Metropolitan
Abbotsford,3,h,1465000,3,2,0,134,Yarra,Northern Metropolitan
Abbotsford,3,h,850000,3,2,1,94,Yarra,Northern Metropolitan
Abbotsford,4,h,1600000,3,1,2,120,Yarra,Northern Metropolitan
Abbotsford,2,h,941000,2,1,0,181,Yarra,Northern Metropolitan
Abbotsford,3,h,1876000,4,2,0,245,Yarra,Northern Metropolitan
Abbotsford,2,h,1636000,2,1,2,256,Yarra,Northern Metropolitan
Abbotsford,1,u,300000,1,1,1,0,Yarra,Northern Metropolitan
Abbotsford,2,h,1097000,3,1,2,220,Yarra,Northern Metropolitan
Abbotsford,2,u,700000,2,2,1,0,Yarra,Northern Metropolitan
Abbotsford,3,h,1350000,3,2,2,214,Yarra,Northern Metropolitan
Abbotsford,2,u,750000,2,2,1,0,Yarra,Northern Metropolitan
Abbotsford,2,h,1172500,2,1,1,195,Yarra,Northern Metropolitan
Abbotsford,1,u,441000,1,1,1,0,Yarra,Northern Metropolitan
Abbotsford,2,h,1310000,2,1,2,238,Yarra,Northern Metropolitan
Abbotsford,3,h,1200000,3,2,1,113,Yarra,Northern Metropolitan
Abbotsford,3,h,1176500,2,1,1,138,Yarra,Northern Metropolitan
Abbotsford,3,h,955000,3,1,0,183,Yarra,Northern Metropolitan
Abbotsford,2,h,890000,2,1,1,150,Yarra,Northern Metropolitan
Abbotsford,4,h,1330000,4,2,2,780,Yarra,Northern Metropolitan
Abbotsford,3,t,900000,3,2,2,0,Yarra,Northern Metropolitan
Abbotsford,3,u,1090000,3,2,2,4290,Yarra,Northern Metropolitan
Abbotsford,2,u,500000,2,1,1,0,Yarra,Northern Metropolitan
Abbotsford,2,h,1100000,2,2,1,124,Yarra,Northern Metropolitan
Abbotsford,2,h,1315000,2,1,0,147,Yarra,Northern Metropolitan
Abbotsford,1,u,426000,1,1,1,0,Yarra,Northern Metropolitan
Abbotsford,3,h,1447500,3,3,1,166,Yarra,Northern Metropolitan
Abbotsford,1,u,457000,1,1,1,0,Yarra,Northern Metropolitan
Abbotsford,2,h,1135000,2,2,2,98,Yarra,Northern Metropolitan
Abbotsford,4,h,1542000,4,3,1,0,Yarra,Northern Metropolitan
Abbotsford,3,h,1290000,3,2,2,147,Yarra,Northern Metropolitan
Abbotsford,3,h,1290000,3,1,1,168,Yarra,Northern Metropolitan
Abbotsford,1,u,470000,1,1,1,0,Yarra,Northern Metropolitan
Abbotsford,2,h,1180000,2,1,0,162,Yarra,Northern Metropolitan
Abbotsford,3,h,1195000,3,2,1,120,Yarra,Northern Metropolitan
Abbotsford,2,h,1012500,2,1,0,182,Yarra,Northern Metropolitan
Abbotsford,2,h,1030000,2,1,1,172,Yarra,Northern Metropolitan
Airport West,3,t,840000,3,2,1,303,Moonee Valley,Western Metropolitan
Airport West,3,h,730000,3,2,1,0,Moonee Valley,Western Metropolitan
Airport West,3,h,770000,3,2,1,0,Moonee Valley,Western Metropolitan
Airport West,2,h,603000,2,1,1,272,Moonee Valley,Western Metropolitan
Airport West,3,t,700000,3,2,2,239,Moonee Valley,Western Metropolitan
Airport West,3,h,600000,2,1,1,290,Moonee Valley,Western Metropolitan
Airport West,2,u,500000,2,1,1,168,Moonee Valley,Western Metropolitan
Airport West,3,h,720000,2,1,1,620,Moonee Valley,Western Metropolitan
Airport West,4,h,785000,3,1,2,597,Moonee Valley,Western Metropolitan
Airport West,6,h,725000,6,3,2,976,Moonee Valley,Western Metropolitan
Airport West,2,t,450000,2,1,1,110,Moonee Valley,Western Metropolitan
Airport West,2,u,515000,2,1,1,141,Moonee Valley,Western Metropolitan
Airport West,2,u,530000,2,1,1,120,Moonee Valley,Western Metropolitan
Airport West,3,h,895000,3,1,6,1063,Moonee Valley,Western Metropolitan
Airport West,3,h,805000,3,1,1,0,Moonee Valley,Western Metropolitan
Airport West,3,u,752000,3,1,1,265,Moonee Valley,Western Metropolitan
Airport West,2,u,440000,2,1,1,192,Moonee Valley,Western Metropolitan
Airport West,5,h,755000,3,2,2,596,Moonee Valley,Western Metropolitan
Airport West,3,t,700000,3,2,2,165,Moonee Valley,Western Metropolitan
Airport West,3,h,830000,3,1,2,971,Moonee Valley,Western Metropolitan
Airport West,2,u,462500,2,1,1,164,Moonee Valley,Western Metropolitan
Airport West,3,h,670000,3,2,2,657,Moonee Valley,Western Metropolitan
Airport West,2,h,675000,2,1,1,612,Moonee Valley,Western Metropolitan
Airport West,3,h,1042000,3,2,5,612,Moonee Valley,Western Metropolitan
Airport West,3,h,910000,3,1,1,775,Moonee Valley,Western Metropolitan
Airport West,4,h,773000,5,3,4,531,Moonee Valley,Western Metropolitan
Airport West,3,h,810000,3,3,2,555,Moonee Valley,Western Metropolitan
Airport West,3,h,715000,3,2,2,422,Moonee Valley,Western Metropolitan
Airport West,3,h,790000,3,1,3,614,Moonee Valley,Western Metropolitan
Airport West,3,t,540000,2,2,1,161,Moonee Valley,Western Metropolitan
Airport West,3,t,825000,3,2,1,293,Moonee Valley,Western Metropolitan
Airport West,3,h,685000,3,1,1,579,Moonee Valley,Western Metropolitan
Airport West,3,h,805000,3,1,1,623,Moonee Valley,Western Metropolitan
Airport West,2,u,510000,2,1,1,141,Moonee Valley,Western Metropolitan
Airport West,3,h,612000,3,2,1,212,Moonee Valley,Western Metropolitan
Airport West,3,h,662000,3,1,2,612,Moonee Valley,Western Metropolitan
Airport West,4,h,978000,4,3,2,532,Moonee Valley,Western Metropolitan
Airport West,3,h,720000,3,1,1,585,Moonee Valley,Western Metropolitan
Airport West,4,h,765000,4,1,2,509,Moonee Valley,Western Metropolitan
Airport West,4,h,900000,4,2,3,628,Moonee Valley,Western Metropolitan
Albert Park,2,h,1275000,2,1,0,120,Port Phillip,Southern Metropolitan
Albert Park,2,h,1455000,2,1,0,159,Port Phillip,Southern Metropolitan
Albert Park,3,h,2850000,3,2,0,211,Port Phillip,Southern Metropolitan
Albert Park,3,h,1850000,3,2,0,128,Port Phillip,Southern Metropolitan
Albert Park,2,h,1436000,2,1,0,130,Port Phillip,Southern Metropolitan
Albert Park,2,h,1110000,1,1,0,147,Port Phillip,Southern Metropolitan
Albert Park,2,h,1550000,2,1,1,167,Port Phillip,Southern Metropolitan
Albert Park,4,h,2300000,4,2,1,153,Port Phillip,Southern Metropolitan
Albert Park,3,t,1550000,3,2,2,718,Port Phillip,Southern Metropolitan
Albert Park,3,h,1800000,3,2,1,132,Port Phillip,Southern Metropolitan
Albert Park,2,h,2120000,2,1,1,199,Port Phillip,Southern Metropolitan
Albert Park,3,h,1800000,3,1,1,253,Port Phillip,Southern Metropolitan
Albert Park,3,h,1800000,3,2,1,90,Port Phillip,Southern Metropolitan
Albert Park,2,h,1810000,2,1,0,240,Port Phillip,Southern Metropolitan
Albert Park,3,h,2615000,3,2,1,177,Port Phillip,Southern Metropolitan
Albert Park,5,h,2100000,5,2,1,237,Port Phillip,Southern Metropolitan
Albert Park,3,h,1300000,3,1,0,129,Port Phillip,Southern Metropolitan
Albert Park,3,h,1370000,3,2,2,0,Port Phillip,Southern Metropolitan
Albert Park,2,h,1000000,2,1,0,288,Port Phillip,Southern Metropolitan
Albert Park,3,h,2575000,3,2,1,228,Port Phillip,Southern Metropolitan
Albert Park,2,h,1322500,2,1,0,149,Port Phillip,Southern Metropolitan
Albert Park,2,h,1562500,2,1,0,141,Port Phillip,Southern Metropolitan
Albert Park,3,h,2000000,3,2,1,211,Port Phillip,Southern Metropolitan
Albert Park,3,h,1900000,3,1,0,209,Port Phillip,Southern Metropolitan
Albert Park,3,h,3010000,3,2,0,147,Port Phillip,Southern Metropolitan
Albert Park,4,h,2800000,4,3,1,327,Port Phillip,Southern Metropolitan
Albert Park,2,u,647000,2,1,1,0,Port Phillip,Southern Metropolitan
Albert Park,3,h,2100000,2,1,1,120,Port Phillip,Southern Metropolitan
Albert Park,3,h,2000000,3,1,1,238,Port Phillip,Southern Metropolitan
Albert Park,1,u,442500,1,1,0,0,Port Phillip,Southern Metropolitan
Albert Park,4,h,4735000,4,2,1,330,Port Phillip,Southern Metropolitan
Albert Park,2,h,1340000,2,1,0,136,Port Phillip,Southern Metropolitan
Albert Park,3,h,1801000,3,1,1,202,Port Phillip,Southern Metropolitan
Albert Park,3,h,1532000,3,3,1,0,Port Phillip,Southern Metropolitan
Albert Park,3,h,3755000,3,2,2,325,Port Phillip,Southern Metropolitan
Albert Park,4,h,2140000,3,2,1,183,Port Phillip,Southern Metropolitan
Albert Park,2,h,1750000,2,1,1,162,Port Phillip,Southern Metropolitan
Albert Park,2,h,980000,2,1,0,79,Port Phillip,Southern Metropolitan
Albert Park,3,h,2030000,3,2,0,152,Port Phillip,Southern Metropolitan
Albert Park,3,h,1740000,3,2,2,147,Port Phillip,Southern Metropolitan
Albert Park,3,h,2800000,3,3,1,0,Port Phillip,Southern Metropolitan
Albert Park,1,h,985000,1,1,0,81,Port Phillip,Southern Metropolitan
Alphington,4,h,2000000,3,2,4,853,Darebin,Northern Metropolitan
Alphington,3,h,1110000,3,2,2,208,Yarra,Northern Metropolitan
Alphington,3,h,1492000,3,2,2,411,Darebin,Northern Metropolitan
Alphington,4,h,1717500,4,2,1,599,Darebin,Northern Metropolitan
Alphington,5,h,2840000,5,4,4,809,Darebin,Northern Metropolitan
Alphington,2,u,525500,2,1,1,88,Darebin,Northern Metropolitan
Alphington,2,t,805000,2,2,3,155,Darebin,Northern Metropolitan
Alphington,2,u,465000,2,1,1,0,Darebin,Northern Metropolitan
Alphington,3,h,2000000,3,3,2,686,Darebin,Northern Metropolitan
Alphington,3,h,1540000,3,1,2,592,Darebin,Northern Metropolitan
Alphington,2,u,820000,2,1,1,183,Darebin,Northern Metropolitan
Alphington,4,h,1830000,4,2,2,606,Darebin,Northern Metropolitan
Alphington,4,h,2100000,4,2,2,575,Darebin,Northern Metropolitan
Alphington,3,h,865000,3,1,1,180,Darebin,Northern Metropolitan
Alphington,2,u,390000,2,1,1,0,Darebin,Northern Metropolitan
Alphington,2,t,650000,0,1,0,0,Yarra,Northern Metropolitan
Alphington,2,u,512000,2,1,1,0,Darebin,Northern Metropolitan
Alphington,3,h,1165000,3,1,2,979,Yarra,Northern Metropolitan
Alphington,4,h,1900000,4,2,2,556,Yarra,Northern Metropolitan
Alphington,3,h,1485000,3,0,0,597,Darebin,Northern Metropolitan
Alphington,4,h,1950000,4,2,3,589,Darebin,Northern Metropolitan
Altona,3,h,520000,3,2,1,352,Hobsons Bay,Western Metropolitan
Altona,5,h,1525000,5,3,3,729,Hobsons Bay,Western Metropolitan
Altona,2,t,720000,2,1,2,292,Hobsons Bay,Western Metropolitan
Altona,3,h,1120000,3,1,2,506,Hobsons Bay,Western Metropolitan
Altona,4,h,780000,4,1,4,655,Hobsons Bay,Western Metropolitan
Altona,4,h,1780000,4,3,6,1057,Hobsons Bay,Western Metropolitan
Altona,3,u,630000,2,1,2,311,Hobsons Bay,Western Metropolitan
Altona,2,u,406000,2,1,1,65,Hobsons Bay,Western Metropolitan
Altona,3,h,660000,3,1,1,602,Hobsons Bay,Western Metropolitan
Altona,3,h,683500,3,1,1,530,Hobsons Bay,Western Metropolitan
Altona,2,u,580000,2,1,1,225,Hobsons Bay,Western Metropolitan
Altona,3,h,1335000,3,1,4,777,Hobsons Bay,Western Metropolitan
Altona,3,t,800000,3,2,2,280,Hobsons Bay,Western Metropolitan
Altona,2,u,510000,2,1,1,127,Hobsons Bay,Western Metropolitan
Altona,4,h,1070000,4,2,2,695,Hobsons Bay,Western Metropolitan
Altona,2,u,425000,2,1,2,115,Hobsons Bay,Western Metropolitan
Altona,3,u,605000,3,2,2,230,Hobsons Bay,Western Metropolitan
Altona,3,t,705000,3,2,2,197,Hobsons Bay,Western Metropolitan
Altona,2,u,391000,2,1,1,0,Hobsons Bay,Western Metropolitan
Altona,2,u,440000,2,1,1,0,Hobsons Bay,Western Metropolitan
Altona,4,h,845000,4,1,2,745,Hobsons Bay,Western Metropolitan
Altona,3,t,743000,3,2,2,211,Hobsons Bay,Western Metropolitan
Altona,3,u,730000,3,2,1,69,Hobsons Bay,Western Metropolitan
Altona,3,h,635000,3,1,4,625,Hobsons Bay,Western Metropolitan
Altona,2,u,620000,2,1,1,168,Hobsons Bay,Western Metropolitan
Altona,2,u,447000,2,1,1,137,Hobsons Bay,Western Metropolitan
Altona,3,u,730000,3,2,1,70,Hobsons Bay,Western Metropolitan
Altona,3,h,678000,3,1,2,606,Hobsons Bay,Western Metropolitan
Altona,2,u,580000,2,2,1,175,Hobsons Bay,Western Metropolitan
Altona,3,h,712000,3,1,2,363,Hobsons Bay,Western Metropolitan
Altona,3,h,840000,3,2,2,534,Hobsons Bay,Western Metropolitan
Altona,3,h,980000,3,1,2,724,Hobsons Bay,Western Metropolitan
Altona,3,t,605100,3,2,0,265,Hobsons Bay,Western Metropolitan
Altona,3,h,880000,3,3,1,577,Hobsons Bay,Western Metropolitan
Altona,3,u,577000,3,2,1,205,Hobsons Bay,Western Metropolitan
Altona,4,h,1030000,4,1,0,797,Hobsons Bay,Western Metropolitan
Altona,3,u,605000,3,1,2,181,Hobsons Bay,Western Metropolitan
Altona,3,h,753000,3,2,2,529,Hobsons Bay,Western Metropolitan
Altona,2,h,857000,2,2,1,675,Hobsons Bay,Western Metropolitan
Altona,3,h,1500000,3,1,1,929,Hobsons Bay,Western Metropolitan
Altona,3,u,730000,3,2,1,70,Hobsons Bay,Western Metropolitan
Altona,3,h,900000,3,1,4,697,Hobsons Bay,Western Metropolitan
