suburb,density,property,price,rooms,bedroom,toilets,ensuite,condition,constituency,council,carport,pool,furnished,cottage,power,pbackup,water,wbackup,gated,garden
130,2,3,3400,7,4,4,1,4,12,2,2,1,1,1,1,1,1,1,1,1
21,2,3,3500,8,5,3,2,4,12,2,0,0,1,1,1,0,1,1,0,1
22,2,3,3500,8,6,7,6,4,12,2,2,0,1,3,1,1,1,1,1,1
3,3,3,750,8,4,3,2,3,26,2,2,0,1,2,1,0,1,1,0,1
69,3,3,700,8,4,4,3,3,16,2,2,0,1,0,1,0,1,1,1,1
62,3,3,750,7,2,2,1,4,14,2,2,0,0,0,1,0,1,0,0,1
108,2,3,3500,8,5,3,1,4,23,2,2,1,1,4,1,0,1,1,0,1
23,2,2,3500,8,5,4,2,4,12,2,2,1,1,1,1,1,1,1,0,1
21,2,2,3500,9,5,4,2,4,12,2,2,0,1,2,1,0,1,1,0,1
65,2,2,3500,10,7,4,3,4,12,2,2,1,1,0,1,1,1,1,0,1
21,2,2,3500,7,4,3,2,5,12,2,1,1,1,1,1,1,1,0,1,1
75,2,3,1600,5,2,2,1,4,12,2,2,0,1,2,1,0,1,1,0,1
75,2,3,1500,5,3,2,1,4,12,2,2,1,1,2,1,0,1,0,0,1
34,2,3,3000,9,5,3,2,5,23,2,2,1,1,2,1,0,1,1,0,1
123,2,3,3000,9,5,4,3,5,12,2,3,0,1,2,1,1,1,0,0,1
22,2,2,3000,9,4,5,4,5,12,2,1,1,1,0,1,1,1,1,1,1
11,2,2,3000,8,5,4,1,5,23,2,2,1,1,3,1,1,1,1,0,1
22,2,3,3000,8,4,3,2,5,12,2,2,0,1,3,1,1,1,0,1,1
22,2,3,3000,8,3,3,1,5,12,2,0,0,1,0,1,0,1,0,1,1
32,3,3,600,7,3,1,0,3,12,2,0,0,1,0,1,0,1,1,0,1
31,3,3,650,6,3,2,1,4,16,2,1,0,1,3,0,0,1,0,0,1
69,3,3,650,6,3,2,1,4,16,2,2,0,0,0,1,1,1,1,0,1
121,3,3,700,6,4,2,1,4,16,2,2,0,1,2,1,1,1,1,0,1
21,2,2,3000,7,4,3,1,5,12,2,0,1,1,0,1,0,1,1,1,1
22,2,3,3000,7,4,2,1,5,12,2,0,1,1,1,1,1,1,1,1,1
34,2,2,3000,7,5,3,1,5,23,2,2,1,1,2,1,1,1,1,0,1
22,2,3,3000,7,3,2,1,5,12,2,0,0,1,0,1,0,1,0,0,1
73,2,3,3000,6,4,3,2,5,23,2,1,1,1,0,1,1,1,1,0,1
19,2,2,2800,10,5,3,2,5,14,2,2,1,1,0,1,1,1,0,1,1
113,2,3,2800,9,4,2,1,5,23,2,2,1,1,2,1,1,1,0,1,1
108,2,3,2800,7,4,1,1,5,23,2,1,1,1,0,1,0,1,0,0,1
162,1,3,550,6,3,2,1,4,11,2,0,0,0,0,1,0,1,1,0,0
146,1,3,400,7,4,2,1,3,28,0,0,0,1,0,1,0,1,0,0,0
126,1,3,400,7,3,2,1,3,2,0,1,0,1,0,1,0,1,0,1,0
34,2,3,1800,6,3,2,1,4,23,2,2,1,1,3,1,1,1,1,0,1
4,1,3,450,7,3,2,1,3,22,2,0,0,0,0,1,1,1,0,0,0
0,1,3,400,7,3,2,1,3,7,1,0,0,1,0,1,1,1,1,0,0
21,2,3,2700,6,4,3,2,5,12,2,2,1,1,0,1,0,1,1,0,1
108,2,3,2600,7,5,4,3,5,23,2,0,1,1,0,1,1,1,1,0,1
11,2,3,1500,5,2,1,0,4,23,2,0,0,0,0,1,1,1,1,0,0
10,2,2,1200,4,2,1,0,4,11,2,0,0,1,0,1,0,1,1,0,0
11,2,2,1200,4,2,1,0,4,23,2,1,0,1,0,1,0,1,1,0,1
