constituency,authority,suburb,density
St Marys,Chitungwiza Municipality,Manyame Park,High
St Marys,Chitungwiza Municipality,St Marys,High
St Marys,Chitungwiza Municipality,Zengeza 1,High
Zengeza West,Chitungwiza Municipality,Rockview,High
Zengeza West,Chitungwiza Municipality,Zengeza 5,High
Chitungwiza North,Chitungwiza Municipality,Unit N,High
Chitungwiza North,Chitungwiza Municipality,Unit G,High
Chitungwiza North,Chitungwiza Municipality,Unit O,High
Chitungwiza North,Chitungwiza Municipality,Unit P,High
Chitungwiza South,Chitungwiza Municipality,Unit M,High
Chitungwiza South,Chitungwiza Municipality,Unit L,High
Zengeza West,Chitungwiza Municipality,Zengeza 2,High
Zengeza West,Chitungwiza Municipality,Zengeza 3,High
Zengeza West,Chitungwiza Municipality,Nyatsime,High
Zengeza West,Chitungwiza Municipality,Nyatsime Rockview,High
Zengeza East,Chitungwiza Municipality,Zengeza 4,High
Zengeza East,Chitungwiza Municipality,Unit D,High
Zengeza East,Chitungwiza Municipality,Unit C,High
Zengeza East,Chitungwiza Municipfality,Unit A,High
Chitungwiza South,Chitungwiza Municipality,Unit J,High
Chitungwiza South,Chitungwiza Municipality,Unit K,High
Chitungwiza North,Chitungwiza Municipality,Unit F,High
Zengeza East,Chitungwiza Municipality,Unit B,High
Zengeza East,Chitungwiza Municipality,Unit H,High
Zengeza East,Chitungwiza Municipality,Unit E,High
Chitungwiza North,Chitungwiza Municipality,Riverside,High
Epworth North,Epworth Local Board,Makomo,Compound
Epworth North,Epworth Local Board,Balancing Rocks,Compound
Epworth North,Epworth Local Board,Weslea Park,High
Epworth North,Epworth Local Board,Muguta,Compound
Hunyani,Epworth Local Board,Domboramwari,Compound
Hunyani,Epworth Local Board,Zinyengere,Compound
Hunyani,Epworth Local Board,Glenwood Park,High
Epworth South,Epworth Local Board,Chinamano,Compound
Epworth South,Epworth Local Board,Magada,Compound
Epworth South,Epworth Local Board,Stopover,Compound
Epworth South,Epworth Local Board,Shungu,Compound
Epworth South,Epworth Local Board,Adelaide Park,High
Epworth South,Epworth Local Board,Overspill,Compound
Epworth South,Epworth Local Board,Pentagon,Compound
Epworth South,Epworth Local Board,Maseko,Compound
Epworth South,Epworth Local Board,Westview,Compound
Epworth South,Epworth Local Board,Solani,Compound
Epworth South,Epworth Local Board,Epworth,Compound
Epworth North,Epworth Local Board,Garikai,Compound
Epworth North,Epworth Local Board,Mabvazuva,Compound
Epworth North,Epworth Local Board,Rockdale,Compound
Churu,Harare Municipality,Churu Farm,Compound
Churu,Harare Municipality,Ushewokunze,High
Churu,Harare Municipality,Crestbreeders,Compound
Churu,Harare Municipality,Southview Park,High
Sunningdale,Harare Municipality,Eastlea,Low
Sunningdale,Harare Municipality,Cranborne,Medium
Sunningdale,Harare Municipality,Hillside,Low
Sunningdale,Harare Municipality,Arcadia,Medium
Sunningdale,Harare Municipality,Braeside,Medium
Sunningdale,Harare Municipality,Nettleton,Medium
Sunningdale,Harare Municipality,Queensdale,Medium
Sunningdale,Harare Municipality,Msasa,Low
Sunningdale,Harare Municipality,Greendale,Low
Mbare,Harare Municipality,Ardbennie,High
Mbare,Harare Municipality,Mbare,High
Harare Central,Harare Municipality,Belvedere,Low
Harare Central,Harare Municipality,Milton Park,Low
Harare Central,Harare Municipality,Avenues,Low
Harare Central,Harare Municipality,Belgravia,Low
Harare Central,Harare Municipality,Monavale,Low
Harare Central,Harare Municipality,Strathaven,Low
Churu,Harare Municipality,Stoneridge,High
Churu,Harare Municipality,Southlea Park,High
Churu,Harare Municipality,Amsterdam Park,High
Churu,Harare Municipality,Stoneridge Park,High
Mount Pleasant,Harare Municipality,Chisipite,Low
Mount Pleasant,Harare Municipality,Highlands,Low
Mount Pleasant,Harare Municipality,Ballantyne Park,Low
Mount Pleasant,Harare Municipality,Newlands,Low
Mount Pleasant,Harare Municipality,Gunhill,Low
Mount Pleasant,Harare Municipality,Morris Depot,Low
Mount Pleasant,Harare Municipality,Colne Valley,Low
Hunyani,Harare Municipality,Arlington Estate,Low
Hatfield,Harare Municipality,Hatfield,Medium
Hunyani,Harare Municipality,Derbshire Village Farm,Compound
Hunyani,Harare Municipality,Davis Granite,High
Hunyani,Harare Municipality,Sheena Flowers,High
Hunyani,Harare Municipality,Butler Farm,Compound
Hunyani,Harare Municipality,Dankwerts Farm,Compound
Hunyani,Harare Municipality,Drycoat Farm,Compound
Hunyani,Harare Municipality,Bellapaise,Compound
Hunyani,Harare Municipality,Logan Park,High
Hunyani,Harare Municipality,Retreat Park,High
Harare East,Harare Municipality,Manresa Park,High
Harare East,Harare Municipality,Chikurubi,Low
Harare East,Harare Municipality,Beverly East,High
Harare East,Harare Municipality,Panguola Farm,Compound
Sunningdale,Harare Municipality,Houghton Park,High
Sunningdale,Harare Municipality,Sunningdale,High
Harare South,Harare Municipality,Eyestone,High
Harare South,Harare Municipality,Eyecourt,High
Southerton,Harare Municipality,Lochinvar,High
Southerton,Harare Municipality,Rugare,High
Southerton,Harare Municipality,Southerton,High
Southerton,Harare Municipality,Marimba,High
Southerton,Harare Municipality,Mufakose,High
Harare Central,Harare Municipality,Kambuzuma,High
Harare Central,Harare Municipality,Westwood,High
Harare Central,Harare Municipality,Aspindale,Medium
Harare Central,Harare Municipality,Warren Park,High
Warren Park,Harare Municipality,Dawnview,High
Warren Park,Harare Municipality,Cold Comfort,High
Warren Park,Harare Municipality,Westlea,Low
Harare West,Harare Municipality,Malbereign,Low
Harare West,Harare Municipality,Bloomingdale,Low
Harare West,Harare Municipality,Ashdon Park,Low
Harare West,Harare Municipality,Maranatha,Low
Harare West,Harare Municipality,Tynwald,Medium
Harare West,Harare Municipality,Madokero,Low
Harare West,Harare Municipality,Nkwisi Gardens,Low
Harare West,Harare Municipality,Lenana Park,Low
Mount Pleasant,Harare Municipality,Alexandra Park,Low
Mount Pleasant,Harare Municipality,Avondale,Low
Mount Pleasant,Harare Municipality,Groombridge,Low
Mount Pleasant,Harare Municipality,Mabelreign,Low
Mount Pleasant,Harare Municipality,Mount Pleasant,Low
Harare East,Harare Municipality,Glen Lorne,Low
Harare East,Harare Municipality,Chishawasha Hills,Low
Harare East,Harare Municipality,Greystone Park,Low
Harare East,Harare Municipality,Hogerty Hill,Low
Harare East,Harare Municipality,Borrowdale,Low
Harare East,Harare Municipality,Borrowdale Brooke,Low
Harare East,Harare Municipality,Mandara,Low
Harare East,Harare Municipality,Pomona,Medium
Hatcliffe,Harare Municipality,Hatcliffe,High
Hatcliffe,Harare Municipality,Vainona,Medium
Mabvuku Tafara,Harare Municipality,Mabvuku,High
Hatfield,Harare Municipality,Msasa Park,Low
Hatfield,Harare Municipality,Chadcombe,Medium
Hatfield,Harare Municipality,Waterfalls,Medium
Highfield,Harare Municipality,Highfield,High
Glenview North,Harare Municipality,Willovale Industry,High
Glenview North,Harare Municipality,Western Triangle,High
Glen Norah,Harare Municipality,Glen Norah,High
Budiriro South,Harare Municipality,Budiriro 5,High
Glenview North,Harare Municipality,Budiriro 3,High
Glenview South,Harare Municipality,Glen View,High
Budiriro South,Harare Municipality,Budiriro 1,High
Budiriro South,Harare Municipality,Budiriro 2,High
Budiriro North,Harare Municipality,Granary,High
Harare South,Harare Municipality,Hopley,High
Harare South,Harare Municipality,Southlands,High
Warren Park,Harare Municipality,Joshua Nkomo,Low
Kuwadzana East,Harare Municipality,Kuwadzana 3,High
Kuwadzana East,Harare Municipality,Kuwadzana 6,High
Kuwadzana East,Harare Municipality,Kuwadzana 1,High
Kuwadzana East,Harare Municipality,Crowbrough,High
Kuwadzana East,Harare Municipality,Kuwadzana 2,High
Kuwadzana West,Harare Municipality,Kuwadzana 7,High
Kuwadzana West,Harare Municipality,Kuwadzana 8,High
Kuwadzana West,Harare Municipality,Kuwadzana 5,High
Dzivarasekwa,Harare Municipality,Dzivarasekwa,High
Dzivarasekwa,Harare Municipality,Glaudina,High
Harare West,Harare Municipality,Goodhope,Medium
Harare West,Harare Municipality,Bluffhill,Low
Harare West,Harare Municipality,Westgate,Low
Harare West,Harare Municipality,Emerald Hill,Low
Harare West,Harare Municipality,Ashbrittle,Low
Harare West,Harare Municipality,Marlborough,Low
Hatcliffe,Harare Municipality,Devine Events,High
Budiriro North,Harare Municipality,Budiriro 4,High
Kuwadzana West,Harare Municipality,Kuwadzana 4,High
Kuwadzana West,Harare Municipality,Herbet Chitepo,High
Kuwadzana West,Harare Municipality,Parkridge,High
Kuwadzana West,Harare Municipality,Crowborough,High
