suburb,constituency,council,density
MANYAME PARK,ST MARYS,CHITUNGWIZA MUNICIPALITY,HIGH
ST MARYS,ST MARYS,CHITUNGWIZA MUNICIPALITY,HIGH
ZENGEZA 1,ST MARYS,CHITUNGWIZA MUNICIPALITY,HIGH
ROCKVIEW,ZENGEZA WEST,CHITUNGWIZA MUNICIPALITY,HIGH
ZENGEZA 5,ZENGEZA WEST,CHITUNGWIZA MUNICIPALITY,HIGH
UNIT N,CHITUNGWIZA NORTH,CHITUNGWIZA MUNICIPALITY,HIGH
UNIT G,CHITUNGWIZA NORTH,CHITUNGWIZA MUNICIPALITY,HIGH
UNIT O,CHITUNGWIZA NORTH,CHITUNGWIZA MUNICIPALITY,HIGH
UNIT P,CHITUNGWIZA NORTH,CHITUNGWIZA MUNICIPALITY,HIGH
UNIT M,CHITUNGWIZA SOUTH,CHITUNGWIZA MUNICIPALITY,HIGH
UNIT L,CHITUNGWIZA SOUTH,CHITUNGWIZA MUNICIPALITY,HIGH
ZENGEZA 2,ZENGEZA WEST,CHITUNGWIZA MUNICIPALITY,HIGH
ZENGEZA 3,ZENGEZA WEST,CHITUNGWIZA MUNICIPALITY,HIGH
NYATSIME,ZENGEZA WEST,CHITUNGWIZA MUNICIPALITY,HIGH
NYATSIME ROCKVIEW,ZENGEZA WEST,CHITUNGWIZA MUNICIPALITY,HIGH
ZENGEZA 4,ZENGEZA EAST,CHITUNGWIZA MUNICIPALITY,HIGH
UNIT D,ZENGEZA EAST,CHITUNGWIZA MUNICIPALITY,HIGH
UNIT C,ZENGEZA EAST,CHITUNGWIZA MUNICIPALITY,HIGH
UNIT A,ZENGEZA EAST,CHITUNGWIZA MUNICIPALITY,HIGH
UNIT J,CHITUNGWIZA SOUTH,CHITUNGWIZA MUNICIPALITY,HIGH
UNIT K,CHITUNGWIZA SOUTH,CHITUNGWIZA MUNICIPALITY,HIGH
UNIT F,CHITUNGWIZA NORTH,CHITUNGWIZA MUNICIPALITY,HIGH
UNIT B,ZENGEZA EAST,CHITUNGWIZA MUNICIPALITY,HIGH
UNIT H,ZENGEZA EAST,CHITUNGWIZA MUNICIPALITY,HIGH
UNIT E,ZENGEZA EAST,CHITUNGWIZA MUNICIPALITY,HIGH
RIVERSIDE,CHITUNGWIZA NORTH,CHITUNGWIZA MUNICIPALITY,HIGH
MAKOMO,EPWORTH NORTH,EPWORTH LOCAL BOARD,COMPOUND
BALANCING ROCKS,EPWORTH NORTH,EPWORTH LOCAL BOARD,COMPOUND
WESLEA PARK,EPWORTH NORTH,EPWORTH LOCAL BOARD,HIGH
MUGUTA,EPWORTH NORTH,EPWORTH LOCAL BOARD,COMPOUND
DOMBORAMWARI,HUNYANI,EPWORTH LOCAL BOARD,COMPOUND
ZINYENGERE,HUNYANI,EPWORTH LOCAL BOARD,COMPOUND
GLENWOOD PARK,HUNYANI,EPWORTH LOCAL BOARD,HIGH
CHINAMANO,EPWORTH SOUTH,EPWORTH LOCAL BOARD,COMPOUND
MAGADA,EPWORTH SOUTH,EPWORTH LOCAL BOARD,COMPOUND
STOPOVER,EPWORTH SOUTH,EPWORTH LOCAL BOARD,COMPOUND
SHUNGU,EPWORTH SOUTH,EPWORTH LOCAL BOARD,COMPOUND
ADELAIDE PARK,EPWORTH SOUTH,EPWORTH LOCAL BOARD,HIGH
OVERSPILL,EPWORTH SOUTH,EPWORTH LOCAL BOARD,COMPOUND
PENTAGON,EPWORTH SOUTH,EPWORTH LOCAL BOARD,COMPOUND
MASEKO,EPWORTH SOUTH,EPWORTH LOCAL BOARD,COMPOUND
WESTVIEW,EPWORTH SOUTH,EPWORTH LOCAL BOARD,COMPOUND
SOLANI,EPWORTH SOUTH,EPWORTH LOCAL BOARD,COMPOUND
EPWORTH,EPWORTH SOUTH,EPWORTH LOCAL BOARD,COMPOUND
GARIKAI,EPWORTH NORTH,EPWORTH LOCAL BOARD,COMPOUND
MABVAZUVA,EPWORTH NORTH,EPWORTH LOCAL BOARD,COMPOUND
ROCKDALE,EPWORTH NORTH,EPWORTH LOCAL BOARD,COMPOUND
CHURU FARM,CHURU,HARARE MUNICIPALITY,COMPOUND
USHEWOKUNZE,CHURU,HARARE MUNICIPALITY,COMPOUND
CRESTBREEDERS,CHURU,HARARE MUNICIPALITY,COMPOUND
SOUTHVIEW PARK,CHURU,HARARE MUNICIPALITY,COMPOUND
EASTLEA,SUNNINGDALE,HARARE MUNICIPALITY,LOW
CRANBORNE,SUNNINGDALE,HARARE MUNICIPALITY,MEDIUM
HILLSIDE,SUNNINGDALE,HARARE MUNICIPALITY,LOW
ARCADIA,SUNNINGDALE,HARARE MUNICIPALITY,MEDIUM
BRAESIDE,SUNNINGDALE,HARARE MUNICIPALITY,MEDIUM
NETTLETON,SUNNINGDALE,HARARE MUNICIPALITY,MEDIUM
QUEENSDALE,SUNNINGDALE,HARARE MUNICIPALITY,MEDIUM
MSASA,SUNNINGDALE,HARARE MUNICIPALITY,LOW
GREENDALE,SUNNINGDALE,HARARE MUNICIPALITY,LOW
ARDBENNIE,MBARE,HARARE MUNICIPALITY,HIGH
MBARE,MBARE,HARARE MUNICIPALITY,HIGH
BELVEDERE,HARARE CENTRAL,HARARE MUNICIPALITY,LOW
MILTON PARK,HARARE CENTRAL,HARARE MUNICIPALITY,LOW
AVENUES,HARARE CENTRAL,HARARE MUNICIPALITY,LOW
BELGRAVIA,HARARE CENTRAL,HARARE MUNICIPALITY,LOW
MONAVALE,HARARE CENTRAL,HARARE MUNICIPALITY,LOW
STRATHAVEN,HARARE CENTRAL,HARARE MUNICIPALITY,LOW
STONERIDGE,CHURU,HARARE MUNICIPALITY,COMPOUND
SOUTHLEA PARK,CHURU,HARARE MUNICIPALITY,COMPOUND
AMSTERDAM PARK,CHURU,HARARE MUNICIPALITY,COMPOUND
STONERIDGE PARK,CHURU,HARARE MUNICIPALITY,COMPOUND
CHISIPITE,MOUNT PLEASANT,HARARE MUNICIPALITY,LOW
HIGHLANDS,MOUNT PLEASANT,HARARE MUNICIPALITY,LOW
BALLANTYNE PARK,MOUNT PLEASANT,HARARE MUNICIPALITY,LOW
NEWLANDS,MOUNT PLEASANT,HARARE MUNICIPALITY,LOW
GUNHILL,MOUNT PLEASANT,HARARE MUNICIPALITY,LOW
COLNE VALLEY,MOUNT PLEASANT,HARARE MUNICIPALITY,LOW
ARLINGTON ESTATE,HUNYANI,HARARE MUNICIPALITY,LOW
HATFIELD,HATFIELD,HARARE MUNICIPALITY,MEDIUM
DERBSHIRE VILLAGE FARM,HUNYANI,HARARE MUNICIPALITY,COMPOUND
DAVIS GRANITE,HUNYANI,HARARE MUNICIPALITY,COMPOUND
SHEENA FLOWERS,HUNYANI,HARARE MUNICIPALITY,COMPOUND
BUTLER FARM,HUNYANI,HARARE MUNICIPALITY,COMPOUND
DANKWERTS FARM,HUNYANI,HARARE MUNICIPALITY,COMPOUND
DRYCOAT FARM,HUNYANI,HARARE MUNICIPALITY,COMPOUND
BELLAPAISE,HUNYANI,HARARE MUNICIPALITY,COMPOUND
LOGAN PARK,HUNYANI,HARARE MUNICIPALITY,COMPOUND
RETREAT PARK,HUNYANI,HARARE MUNICIPALITY,COMPOUND
MANRESA PARK,HARARE EAST,HARARE MUNICIPALITY,HIGH
CHIKURUBI,HARARE EAST,HARARE MUNICIPALITY,MEDIUM
BEVERLY EAST,HARARE EAST,HARARE MUNICIPALITY,HIGH
PANGUOLA FARM,HARARE EAST,HARARE MUNICIPALITY,COMPOUND
HOUGHTON PARK,SUNNINGDALE,HARARE MUNICIPALITY,HIGH
SUNNINGDALE,SUNNINGDALE,HARARE MUNICIPALITY,HIGH
EYESTONE,HARARE SOUTH,HARARE MUNICIPALITY,COMPOUND
EYECOURT,HARARE SOUTH,HARARE MUNICIPALITY,COMPOUND
LOCHINVAR,SOUTHERTON,HARARE MUNICIPALITY,HIGH
RUGARE,SOUTHERTON,HARARE MUNICIPALITY,HIGH
SOUTHERTON,SOUTHERTON,HARARE MUNICIPALITY,HIGH
MARIMBA,SOUTHERTON,HARARE MUNICIPALITY,HIGH
MUFAKOSE,SOUTHERTON,HARARE MUNICIPALITY,HIGH
KAMBUZUMA,HARARE CENTRAL,HARARE MUNICIPALITY,HIGH
WESTWOOD,HARARE CENTRAL,HARARE MUNICIPALITY,HIGH
ASPINDALE,HARARE CENTRAL,HARARE MUNICIPALITY,MEDIUM
WARREN PARK,HARARE CENTRAL,HARARE MUNICIPALITY,HIGH
DAWNVIEW,WARREN PARK,HARARE MUNICIPALITY,HIGH
COLD COMFORT,WARREN PARK,HARARE MUNICIPALITY,HIGH
WESTLEA,WARREN PARK,HARARE MUNICIPALITY,MEDIUM
MALBEREIGN,HARARE WEST,HARARE MUNICIPALITY,LOW
BLOOMINGDALE,HARARE WEST,HARARE MUNICIPALITY,LOW
ASHDON PARK,HARARE WEST,HARARE MUNICIPALITY,LOW
MARANATHA,HARARE WEST,HARARE MUNICIPALITY,LOW
TYNWALD,HARARE WEST,HARARE MUNICIPALITY,MEDIUM
MADOKERO,HARARE WEST,HARARE MUNICIPALITY,LOW
NKWISI GARDENS,HARARE WEST,HARARE MUNICIPALITY,LOW
LENANA PARK,HARARE WEST,HARARE MUNICIPALITY,LOW
ALEXANDRA PARK,MOUNT PLEASANT,HARARE MUNICIPALITY,LOW
AVONDALE,MOUNT PLEASANT,HARARE MUNICIPALITY,LOW
GROOMBRIDGE,MOUNT PLEASANT,HARARE MUNICIPALITY,LOW
MABELREIGN,MOUNT PLEASANT,HARARE MUNICIPALITY,LOW
MOUNT PLEASANT,MOUNT PLEASANT,HARARE MUNICIPALITY,LOW
GLEN LORNE,HARARE EAST,HARARE MUNICIPALITY,LOW
CHISHAWASHA HILLS,HARARE EAST,HARARE MUNICIPALITY,LOW
GREYSTONE PARK,HARARE EAST,HARARE MUNICIPALITY,LOW
HOGERTY HILL,HARARE EAST,HARARE MUNICIPALITY,LOW
BORROWDALE WEST,HARARE EAST,HARARE MUNICIPALITY,LOW
BORROWDALE,HARARE EAST,HARARE MUNICIPALITY,LOW
BORROWDALE BROOKE,HARARE EAST,HARARE MUNICIPALITY,LOW
MANDARA,HARARE EAST,HARARE MUNICIPALITY,LOW
POMONA,HARARE EAST,HARARE MUNICIPALITY,LOW
HATCLIFFE,HATCLIFFE,HARARE MUNICIPALITY,HIGH
VAINONA,HARARE EAST,HARARE MUNICIPALITY,LOW
MABVUKU,MABVUKU TAFARA,HARARE MUNICIPALITY,HIGH
MSASA PARK,HATFIELD,HARARE MUNICIPALITY,LOW
CHADCOMBE,HATFIELD,HARARE MUNICIPALITY,MEDIUM
WATERFALLS,HATFIELD,HARARE MUNICIPALITY,MEDIUM
HIGHFIELD,HIGHFIELD,HARARE MUNICIPALITY,HIGH
WILLOVALE INDUSTRY,GLENVIEW NORTH,HARARE MUNICIPALITY,HIGH
WESTERN TRIANGLE,GLENVIEW NORTH,HARARE MUNICIPALITY,HIGH
GLEN NORAH,GLEN NORAH,HARARE MUNICIPALITY,HIGH
BUDIRIRO 5,BUDIRIRO SOUTH,HARARE MUNICIPALITY,HIGH
BUDIRIRO 3,GLENVIEW NORTH,HARARE MUNICIPALITY,HIGH
GLEN VIEW,GLENVIEW SOUTH,HARARE MUNICIPALITY,HIGH
BUDIRIRO 1,BUDIRIRO SOUTH,HARARE MUNICIPALITY,HIGH
BUDIRIRO 2,BUDIRIRO SOUTH,HARARE MUNICIPALITY,HIGH
GRANARY,BUDIRIRO NORTH,HARARE MUNICIPALITY,HIGH
HOPLEY,HARARE SOUTH,HARARE MUNICIPALITY,COMPOUND
SOUTHLANDS,HARARE SOUTH,HARARE MUNICIPALITY,COMPOUND
JOSHUA NKOMO,WARREN PARK,HARARE MUNICIPALITY,HIGH
KUWADZANA 3,KUWADZANA EAST,HARARE MUNICIPALITY,HIGH
KUWADZANA 6,KUWADZANA EAST,HARARE MUNICIPALITY,HIGH
KUWADZANA 1,KUWADZANA EAST,HARARE MUNICIPALITY,HIGH
CROWBROUGH,KUWADZANA EAST,HARARE MUNICIPALITY,HIGH
KUWADZANA 2,KUWADZANA EAST,HARARE MUNICIPALITY,HIGH
KUWADZANA 7,KUWADZANA WEST,HARARE MUNICIPALITY,HIGH
KUWADZANA 8,KUWADZANA WEST,HARARE MUNICIPALITY,HIGH
KUWADZANA 5,KUWADZANA WEST,HARARE MUNICIPALITY,HIGH
DZIVARASEKWA,DZIVARASEKWA,HARARE MUNICIPALITY,HIGH
GLAUDINA,DZIVARASEKWA,HARARE MUNICIPALITY,HIGH
GOODHOPE,HARARE WEST,HARARE MUNICIPALITY,MEDIUM
BLUFF HILL,HARARE WEST,HARARE MUNICIPALITY,LOW
WESTGATE,HARARE WEST,HARARE MUNICIPALITY,LOW
EMERALD HILL,HARARE WEST,HARARE MUNICIPALITY,LOW
ASHBRITTLE,HARARE WEST,HARARE MUNICIPALITY,LOW
AVONLEA,HARARE WEST,HARARE MUNICIPALITY,LOW
MARLBOROUGH,HARARE WEST,HARARE MUNICIPALITY,LOW
DEVINE EVENTS,HATCLIFFE,HARARE MUNICIPALITY,HIGH
BUDIRIRO 4,BUDIRIRO NORTH,HARARE MUNICIPALITY,HIGH
KUWADZANA 4,KUWADZANA WEST,HARARE MUNICIPALITY,HIGH
HERBET CHITEPO,KUWADZANA WEST,HARARE MUNICIPALITY,HIGH
PARKRIDGE,KUWADZANA WEST,HARARE MUNICIPALITY,HIGH
CROWBOROUGH,KUWADZANA WEST,HARARE MUNICIPALITY,HIGH
ARLINGTON,HUNYANI,HARARE MUNICIPALITY,LOW
HELENSVALE,HARARE EAST,HARARE MUNICIPALITY,LOW
SHAWASHA HILLS,HARARE EAST,HARARE MUNICIPALITY,LOW
PARKTOWN,HATFIELD,HARARE MUNICIPALITY,MEDIUM
NORTHWOOD,MOUNT PLEASANT,HARARE MUNICIPALITY,LOW
CROWHILL,HARARE EAST,HARARE MUNICIPALITY,LOW
